Sample Index, Min Value, Max Value,,
0,-3.54045104980469,2.60303974151611,,
1,-1.86022520065308,2.91715455055237,,
2,-2.28350138664246,2.97987985610962,,
3,-1.99404501914978,2.55975365638733,,
4,-2.31525468826294,2.3028130531311,,
5,-2.13953423500061,1.85753226280212,,
6,-2.03990840911865,2.72564077377319,,
7,-2.18749570846558,2.18774390220642,,
8,-2.55207133293152,2.35814905166626,,
9,-2.58746361732483,2.69045996665955,,
10,-2.95374417304993,2.64243268966675,,
11,-2.5757520198822,2.02838802337646,,
12,-2.99767470359802,2.07540965080261,,
13,-2.11669874191284,2.04307246208191,,
14,-2.83492612838745,3.24465346336365,,
15,-1.9027613401413,3.22063398361206,,
16,-2.41023850440979,2.84802937507629,,
17,-2.47547650337219,2.05350613594055,,
18,-2.75167179107666,2.00881218910217,,
19,-2.77410793304443,2.57316827774048,,
20,-3.54300212860107,2.22748041152954,,
21,-2.56030416488647,2.34317803382874,,
22,-2.50692200660706,2.1246030330658,,
23,-2.46201753616333,2.11027693748474,,
24,-2.75889039039612,1.51139760017395,,
25,-2.7769136428833,3.02988219261169,,
26,-2.43189787864685,2.72938823699951,,
27,-2.24609780311584,2.42673277854919,,
28,-3.05703568458557,2.61237692832947,,
29,-2.36197447776794,3.16781735420227,,
30,-2.3584840297699,2.37163925170898,,
31,-2.35901308059692,3.76711463928223,,
32,-2.61470055580139,2.59276914596558,,
33,-2.35641932487488,2.50797700881958,,
34,-2.54742050170898,2.65434002876282,,
35,-2.79769229888916,2.44450950622559,,
36,-2.34362030029297,2.22694420814514,,
37,-2.98640418052673,2.19621753692627,,
38,-2.61524057388306,2.61240100860596,,
39,-2.64851021766663,2.64633560180664,,
40,-2.90554690361023,2.60870909690857,,
41,-2.77996110916138,2.56240344047546,,
42,-2.7906813621521,2.3407289981842,,
43,-2.8353898525238,2.49260687828064,,
44,-2.62814545631409,2.64914512634277,,
45,-2.5845320224762,2.56227111816406,,
46,-2.51296973228455,1.94303214550018,,
47,-2.52506279945374,2.06439685821533,,
48,-2.51093649864197,3.13687515258789,,
49,-2.6003999710083,2.40599966049194,,
50,-2.43254017829895,2.45247483253479,,
