Sample Number,Min,Max,,
0,-1.76226127147675,2.03254842758179,,
1,-2.1994833946228,3.16848373413086,,
2,-2.89300847053528,2.93110060691833,,
3,-3.35814523696899,2.26501870155334,,
4,-2.81237506866455,2.35665011405945,,
5,-2.37074828147888,3.37349128723145,,
6,-2.91534113883972,2.93412590026855,,
7,-2.05026698112488,2.28782916069031,,
8,-3.10850071907043,2.37573075294495,,
9,-2.01186513900757,2.71185302734375,,
10,-2.04554128646851,2.67118382453918,,
11,-2.15853238105774,2.05466270446777,,
12,-3.3327305316925,2.99150466918945,,
13,-2.37445092201233,1.9497035741806,,
14,-2.43061757087708,2.52161574363708,,
15,-2.56044340133667,2.48113417625427,,
16,-2.4804048538208,2.24384760856628,,
17,-2.23330140113831,2.13526606559753,,
18,-2.6470365524292,1.62610077857971,,
19,-3.94820165634155,2.86758542060852,,
20,-2.27391695976257,2.17249870300293,,
21,-2.32024908065796,2.03250193595886,,
22,-2.4671995639801,2.78494834899902,,
23,-2.63931393623352,2.31735968589783,,
24,-2.09969639778137,2.21463990211487,,
25,-2.47758173942566,2.08489155769348,,
26,-2.4714777469635,2.74066162109375,,
27,-3.06456017494202,2.72732996940613,,
28,-2.48691153526306,2.73032283782959,,
29,-2.04816389083862,2.54944705963135,,
30,-2.43717789649963,2.39283084869385,,
31,-2.16682434082031,2.61220574378967,,
32,-3.43935871124268,2.70353627204895,,
33,-3.33310222625732,2.43510818481445,,
34,-2.27111911773682,2.24517202377319,,
35,-3.28885912895203,2.05412554740906,,
36,-2.45429468154907,2.23858189582825,,
37,-2.07247424125671,2.58777141571045,,
38,-3.6489942073822,3.58081221580505,,
39,-2.24453139305115,2.78512454032898,,
40,-3.00979828834534,2.35894513130188,,
41,-2.21127820014954,2.05104541778564,,
42,-2.99149441719055,2.64008092880249,,
43,-2.49071455001831,2.44162631034851,,
44,-2.49882912635803,2.59592223167419,,
45,-2.70427942276001,2.18143439292908,,
46,-3.08970236778259,2.10138082504272,,
47,-2.66531658172607,2.03465914726257,,
48,-2.59462380409241,2.3066086769104,,
49,-2.96271872520447,2.82636475563049,,
50,-2.43140959739685,2.33168292045593,,
51,-2.48701357841492,2.55416822433472,,
52,-2.76465702056885,3.33094477653503,,
53,-3.08723473548889,2.45677423477173,,
54,-2.57911491394043,2.39549326896667,,
